"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"ko04934","ko04934","2/134","69/8626",0.0289855072463768,1.86588795154661,0.907094292516501,0.290943113168767,0.769034450665555,0.764177390977141,"116917635/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04934","Cushing syndrome","2/134","69/8626",0.0289855072463768,1.86588795154661,0.907094292516501,0.290943113168767,0.769034450665555,0.764177390977141,"116917635/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00020","ko00020","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04514","ko04514","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116931093",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05217","ko05217","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116917635",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00020","Citrate cycle (TCA cycle)","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04514","Cell adhesion molecules","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116931093",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map05217","Basal cell carcinoma","1/134","22/8626",0.0454545454545455,2.92605156037992,1.13620319679615,0.291682666260668,0.769034450665555,0.764177390977141,"116917635",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00051","ko00051","1/134","23/8626",0.0434782608695652,2.79883192731992,1.08506686644917,0.302714107767068,0.769034450665555,0.764177390977141,"116918984",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00591","ko00591","1/134","23/8626",0.0434782608695652,2.79883192731992,1.08506686644917,0.302714107767068,0.769034450665555,0.764177390977141,"116932816",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00051","Fructose and mannose metabolism","1/134","23/8626",0.0434782608695652,2.79883192731992,1.08506686644917,0.302714107767068,0.769034450665555,0.764177390977141,"116918984",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00591","Linoleic acid metabolism","1/134","23/8626",0.0434782608695652,2.79883192731992,1.08506686644917,0.302714107767068,0.769034450665555,0.764177390977141,"116932816",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00983","ko00983","2/134","72/8626",0.0277777777777778,1.78814262023217,0.843554986407304,0.308222038724277,0.769034450665555,0.764177390977141,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00983","Drug metabolism - other enzymes","2/134","72/8626",0.0277777777777778,1.78814262023217,0.843554986407304,0.308222038724277,0.769034450665555,0.764177390977141,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04964","ko04964","1/134","24/8626",0.0416666666666667,2.68221393034826,1.03660687556669,0.313575006239603,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04964","Proximal tubule bicarbonate reclamation","1/134","24/8626",0.0416666666666667,2.68221393034826,1.03660687556669,0.313575006239603,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00062","ko00062","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116924502",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00620","ko00620","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04973","ko04973","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116925717",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00062","Fatty acid elongation","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116924502",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00620","Pyruvate metabolism","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116925370",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04973","Carbohydrate digestion and absorption","1/134","26/8626",0.0384615384615385,2.47588978185993,0.946712982284889,0.334795602338277,0.769034450665555,0.764177390977141,"116925717",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04913","ko04913","1/134","28/8626",0.0357142857142857,2.29904051172708,0.864828411558906,0.355364916079153,0.769034450665555,0.764177390977141,"116932816",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05133","ko05133","1/134","28/8626",0.0357142857142857,2.29904051172708,0.864828411558906,0.355364916079153,0.769034450665555,0.764177390977141,"116917869",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04913","Ovarian steroidogenesis","1/134","28/8626",0.0357142857142857,2.29904051172708,0.864828411558906,0.355364916079153,0.769034450665555,0.764177390977141,"116932816",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map05133","Pertussis","1/134","28/8626",0.0357142857142857,2.29904051172708,0.864828411558906,0.355364916079153,0.769034450665555,0.764177390977141,"116917869",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00330","ko00330","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116929963",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00562","ko00562","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116927303",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04927","ko04927","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116930210",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00330","Arginine and proline metabolism","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116929963",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00562","Inositol phosphate metabolism","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116927303",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04927","Cortisol synthesis and secretion","1/134","29/8626",0.0344827586206897,2.21976325270201,0.826471799385749,0.36541156660781,0.769034450665555,0.764177390977141,"116930210",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko05418","ko05418","2/134","83/8626",0.0240963855421687,1.55115986333393,0.633779788278165,0.37067669259436,0.769034450665555,0.764177390977141,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
