"","sig_genes_pval_deseq"
"885","116922044"
"886","116921691"
"887","116922013"
"888","116921572"
"889","116920210"
"890","116920778"
"891","116921335"
"892","116921559"
"893","116921497"
"894","116919948"
"895","116921342"
"896","116921235"
"897","116919941"
"898","116921247"
"899","116919959"
"900","116920539"
"901","116921299"
"902","116921503"
"903","116921243"
"904","116920775"
"905","116921753"
"906","116920921"
"907","116920580"
"908","116921237"
"909","116921270"
"910","116920526"
"911","116920480"
"912","116920063"
"913","116920999"
"914","116921397"
"915","116920020"
"916","116920839"
"917","116920237"
"918","116921494"
"919","116920282"
"920","116921330"
"921","116920231"
"922","116921895"
"923","116920557"
"924","116921476"
"925","116921398"
"926","116921005"
"927","116921510"
"928","116920543"
"929","116921801"
"930","116921106"
"931","116921490"
"932","116920760"
"933","116921336"
"934","116920938"
"935","116921329"
"936","116921324"
"937","116920855"
"938","116921718"
"939","116920542"
"940","116920752"
"941","116921467"
"942","116921747"
"943","116921465"
"944","116920137"
"945","116921085"
"946","116920956"
"947","116920278"
"948","116920735"
"949","116921176"
"950","116920911"
"951","116921716"
"952","116921133"
"953","116920366"
"954","116921575"
"955","116920577"
"956","116920703"
"957","116920750"
"958","116922163"
"959","116921073"
"960","116921485"
"961","116921583"
"962","116922110"
"963","116922056"
"964","116921331"
"965","116921240"
"966","116920546"
"967","116920919"
"968","116922158"
"969","116921819"
"970","116921504"
"971","116920203"
"972","116921011"
"973","116921101"
"974","116921323"
"975","116920528"
"976","116920075"
"977","116921994"
"978","116921084"
"979","116921001"
"980","116922116"
"981","116922195"
"982","116921526"
"983","116921193"
"984","116920006"
"985","116920402"
"986","116920765"
"987","116920755"
"988","116921280"
"989","116920491"
"990","116921089"
"991","116920867"
"992","116921286"
"993","116920929"
"994","116921110"
"995","116921257"
"996","116920763"
"997","116920930"
"998","116921965"
"999","116921708"
"1000","116920016"
"1001","116920933"
"1002","116921580"
"1003","116919999"
"1004","116920555"
"1005","116922064"
"1006","116921214"
"1007","116921493"
"1008","116920951"
"1009","116921788"
"1010","116921835"
"1011","116921302"
"1012","116920209"
"1013","116920299"
"1014","116920972"
"1015","116920014"
"1016","116921585"
"1017","116920955"
"1018","116921408"
"1019","116921511"
"1020","116922003"
"1021","116920382"
"1022","116921321"
"1023","116920523"
"1024","116922188"
"1025","116921545"
"1026","116921500"
"1027","116921325"
"1028","116921380"
"1029","116920931"
"1030","116921593"
"1031","116920002"
"1032","116920332"
"1033","116920937"
"1034","116920759"
"1035","116922194"
"1036","116920145"
"1037","116920928"
"1038","116921713"
"1039","116921582"
"1040","116921908"
"1041","116921093"
"1042","116921097"
"1043","116920328"
"1044","116920250"
"1045","116921963"
"1046","116920724"
"1047","116921322"
"1048","116920979"
"1049","116920975"
"1050","116921967"
"1051","116921094"
"1052","116921825"
"1053","116920358"
"1054","116920924"
"1055","116921469"
"1056","116920297"
"1057","116920411"
"1058","116920116"
"1059","116921739"
"1060","116921636"
"1061","116922199"
"1062","116920973"
"1063","116920434"
"1064","116920533"
"1065","116920583"
"1066","116920454"
"1067","116920747"
"1068","116920288"
"1069","116920432"
"1070","116920736"
"1071","116922890"
"1072","116924000"
"1073","116923156"
"1074","116923826"
"1075","116923694"
"1076","116923417"
"1077","116923040"
"1078","116923041"
"1079","116922446"
"1080","116923107"
"1081","116924085"
"1082","116923996"
"1083","116922880"
"1084","116922824"
"1085","116923697"
"1086","116922829"
"1087","116924051"
"1088","116922329"
"1089","116922492"
"1090","116922924"
"1091","116924049"
"1092","116924024"
"1093","116923430"
"1094","116922788"
"1095","116923798"
"1096","116922574"
"1097","116922776"
"1098","116923494"
"1099","116924004"
"1100","116923749"
"1101","116923416"
"1102","116923726"
"1103","116922451"
"1104","116922845"
"1105","116922935"
"1106","116923759"
"1107","116923783"
"1108","116922778"
"1109","116923641"
"1110","116922318"
"1111","116922943"
"1112","116922501"
"1113","116923450"
"1114","116922503"
"1115","116923299"
"1116","116923708"
"1117","116923475"
"1118","116923540"
"1119","116922453"
"1120","116923778"
"1121","116922644"
"1122","116923414"
"1123","116923524"
"1124","116922334"
"1125","116923990"
"1126","116922993"
"1127","116924001"
"1128","116922504"
"1129","116923824"
"1130","116922895"
"1131","116922474"
"1132","116922620"
"1133","116923841"
"1134","116923831"
"1135","116924056"
"1136","116924058"
"1137","116923958"
"1138","116922429"
"1139","116923145"
"1140","116923458"
"1141","116923663"
"1142","116923424"
"1143","116922872"
"1144","116922659"
"1145","116923809"
"1146","116923188"
"1147","116924010"
"1148","116923727"
"1149","116923178"
"1150","116922473"
"1151","116922477"
"1152","116922795"
"1153","116922582"
"1154","116922584"
"1155","116923399"
"1156","116922988"
"1157","116923799"
"1158","116923063"
"1159","116922709"
