"","gene","pvalue","padj"
"231","116915579",0.061834604495695,0.740893656459947
"232","116915582",0.0601708053919699,0.503693344078359
"233","116915585",0.263105089646098,0.972080667479056
"234","116915588",0.0370862997793387,0.445035597352064
"235","116915589",0.0196708243371147,0.236049892045377
"236","116915601",0.234710376679772,0.923574112880521
"237","116915602",0.104189250948725,0.620075763924636
"238","116915603",0.110142981204857,0.384991911822443
"239","116915604",0.173689468072198,0.677695442749508
"240","116915605",0.321739762502544,0.901517683054704
"241","116915606",0.067728077330082,0.561171535390693
"242","116915607",0.0111097959394818,0.133317551273781
"243","116915608",0.0709939754294375,0.434242833077137
"244","116915610",0.0538632998578202,0.556273187875047
"245","116915611",0.314984428890986,0.966239866065356
"246","116915612",0.0738103507938166,0.616908721853556
"247","116915614",0.0011914503598156,0.0130477220698641
"248","116915615",0.227170308467602,0.885785261922245
"249","116915616",0.349458454702416,0.928502729456248
"250","116915617",0.138804862276193,0.855825462049827
"251","116915618",0.0118314792265101,0.0781166638028246
"252","116915620",0.144447698572039,0.924769089732903
"253","116915621",0.0655696607910414,0.786835929492497
"254","116915622",0.102044875987161,0.861126871689563
"255","116915623",0.140815059290258,0.640014049995511
"256","116915624",0.132707314255959,0.962844826588547
"257","116915625",0.00857115199992226,0.102853823999067
"258","116915627",0.161894126620102,0.980183269871984
"259","116915628",0.00593242535428584,0.0711891042514301
"260","116915629",0.196013608668055,0.724226436983819
"261","116915630",0.0238208253703199,0.235714224060388
"262","116915631",0.0188527708842502,0.226233250611002
"263","116915632",0.277659278066682,0.878532862879557
"264","116915633",0.262509575462156,0.998385186928013
"265","116915634",0.162079843512562,0.834874924698181
"266","116915635",0.0956828294888352,0.713481707411847
"267","116915636",0.295186576698435,0.951046531165418
"268","116915637",0.448340027407836,0.999372394576858
"269","116915638",0.320235964260283,0.934093467678334
"270","116915639",0.160552392678944,0.875848188717437
"271","116915640",0.153643548740121,0.933277651862222
"272","116915641",0.304667147530114,0.880327166788102
"273","116915642",0.0515579348810235,0.618695218572282
"274","116915643",0.226152161899827,0.859681752574242
"275","116915644",0.113486192097885,0.693196358938812
"276","116915646",0.02440936920512,0.248141798799184
"277","116915647",0.167123705156226,0.912907893710775
"278","116915648",0.368458219795329,0.975777706516914
"279","116915649",0.0337525225955186,0.292752374548823
"280","116915650",0.343024158742207,0.792947889911218
"281","116915651",0.346483619550961,0.909856583462931
"282","116915653",0.0226179394045449,0.271415272854539
"283","116915654",0.251123129103304,0.945647016465872
"284","116915656",0.31864819008643,0.919087934805466
"285","116915657",0.0719772890803825,0.861450114509672
"286","116915658",0.150330003177928,0.850051264630298
"287","116915659",0.124750601147234,0.899374367186821
"288","116915664",0.360080343001489,0.936970101478967
"289","116915665",0.376590507300084,0.97474382299416
"290","116915666",0.0241775078623673,0.255839391438962
"291","116915667",0.155094124638457,0.795939580138282
"292","116915668",0.058049320781803,0.696591849381636
"293","116915672",0.0884576662970133,0.791152884539852
"294","116915673",0.0300466591733212,0.360559910079854
