"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116920919",-1.09485556489136,0.797703590850163,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920924",-1.22581391641841,1.28290624761648,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920928",-1.10079680729739,1.40318743919712,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920929",-0.585784271531182,1.56411841343661,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920930",-1.29205902360945,1.44518334633676,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920931",-1.32791379121609,1.24959943778254,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920933",-1.72796288564421,1.31493233952484,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920937",-0.940440052336027,1.62474455734249,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920938",-0.903953591527301,1.47954832175238,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920955",-0.64738693137726,0.761436619336921,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921020",-1.40247154239516,1.36010827276787,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921031",-0.204445072376645,0.613848097981377,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921079",-1.23781260716447,1.14643169207928,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921085",-1.13217585669834,0.358363161206812,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921110",-1.72635414994242,1.05431931835718,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921243",-1.60205734940536,1.49314345092846,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921344",-2.18917636296198,1.08067282536596,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921397",-1.66664996565582,0.0623547798337896,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921417",-0.689806114846133,0.770030822664895,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921467",-0.475379481084075,1.50545980526328,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116921476",-1.53749478701022,1.3090395633644,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
